id,order_id,customer_email,product_name,category,product_price,sku,supplier_name,return_reason,days_since_purchase,warehouse_location,repair_cost,damage_level,salvage_value_percent,resale_value,holding_cost,transport_cost,net_recovery_value,recommended_action,routing_destination,fraud_risk,priority_level,reuse_possible,recycling_needed,waste_reduction
11,ORD-98937,cust3463@example.com,LED TV 32 inch,Electronics,17964.49,SKU-0011,BookBazaar,Size doesn't fit properly,27,Kolkata,0,No Damage,86.0,15449.46,970.08,898.22,13581.16,Restock,Main Warehouse,High,High,True,False,Low
12,ORD-49933,cust3658@example.com,Board Game,Toys,697.74,SKU-0012,AutoParts India,Doesn't fit my use case,11,Pune,0,No Damage,88.3,616.1,15.35,34.89,565.86,Restock,Main Warehouse,Medium,High,True,False,Low
13,ORD-25526,cust6631@example.com,Protein Powder,Beauty,961.27,SKU-0013,TechVista Ltd,Wrong item delivered,24,Kolkata,0,No Damage,86.4,830.54,46.14,48.06,736.34,Restock,Main Warehouse,Low,High,True,False,Low
14,ORD-34139,cust4090@example.com,Protein Powder,Beauty,1195.44,SKU-0014,SportGear India,Device shattered when dropped,13,Surat,175.78,Severe Damage,13.1,156.6,31.08,59.77,-110.03,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
15,ORD-19820,cust4538@example.com,Python Book,Books,653.27,SKU-0015,BookBazaar,Wrong color delivered,21,Surat,0,No Damage,86.8,567.04,27.44,32.66,506.94,Restock,Main Warehouse,Low,High,True,False,Low
16,ORD-41379,cust5096@example.com,Instant Pot,Home & Kitchen,3336.96,SKU-0016,SportGear India,"Dead on arrival, never worked",12,Hyderabad,346.24,Severe Damage,13.2,440.48,80.09,166.85,-152.7,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
17,ORD-91039,cust4746@example.com,Bluetooth Headphones,Electronics,2844.37,SKU-0017,GlobalImports,"Packaging damage only, product fine",28,Bangalore,0,Minor Damage,72.8,2070.7,159.28,142.22,1769.2,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
18,ORD-42098,cust7611@example.com,Cotton T-Shirt,Clothing,441.67,SKU-0018,HomeDecor Co,Size doesn't fit properly,25,Delhi,0,No Damage,86.2,380.72,22.08,22.08,336.56,Restock,Main Warehouse,Low,High,True,False,Low
19,ORD-81378,cust3878@example.com,Yoga Mat,Sports,863.24,SKU-0019,AutoParts India,Size doesn't fit properly,15,Mumbai,0,No Damage,87.8,757.92,25.9,43.16,688.86,Restock,Main Warehouse,Medium,High,True,False,Low
20,ORD-87860,cust6607@example.com,Board Game,Toys,668.05,SKU-0020,AutoParts India,Product stopped working entirely,2,Delhi,46.91,Severe Damage,14.7,98.2,2.67,33.4,15.22,Liquidate,Liquidation Partner,Medium,High,False,True,High
21,ORD-16981,cust8051@example.com,Face Cream SPF,Beauty,342.82,SKU-0021,GlobalImports,Product not as described in listing,2,Ahmedabad,0,Minor Damage,76.7,262.94,1.37,17.14,244.43,Repack and Discount,Discount Inventory Zone,Low,High,True,False,Medium
22,ORD-35289,cust4488@example.com,Action Figure Set,Toys,294.3,SKU-0022,HomeDecor Co,Size doesn't fit properly,18,Pune,0,No Damage,87.3,256.92,10.59,14.72,231.61,Restock,Main Warehouse,Low,High,True,False,Low
23,ORD-44005,cust8005@example.com,Smart Watch,Electronics,6409.3,SKU-0023,AutoParts India,Device shattered when dropped,18,Kolkata,196.11,Severe Damage,12.3,788.34,230.73,320.47,41.03,Liquidate,Liquidation Partner,High,Low,False,True,High
24,ORD-75519,cust8008@example.com,Cotton T-Shirt,Clothing,442.82,SKU-0024,BookBazaar,Quality much lower than expected,17,Mumbai,37.45,Moderate Damage,51.5,228.05,15.06,22.14,153.4,Refurbish,Repair Center,Low,Medium,True,False,Medium
25,ORD-59911,cust4236@example.com,Running Shoes,Sports,1763.33,SKU-0025,AutoParts India,Wrong item delivered,20,Surat,0,No Damage,87.0,1534.1,70.53,88.17,1375.4,Restock,Main Warehouse,High,High,True,False,Low
26,ORD-84603,cust8283@example.com,Badminton Set,Sports,854.43,SKU-0026,FurniWorld,Wrong color delivered,20,Delhi,0,No Damage,87.0,743.35,34.18,42.72,666.45,Restock,Main Warehouse,Medium,High,True,False,Low
27,ORD-19196,cust8633@example.com,Office Chair,Furniture,9743.2,SKU-0027,AutoParts India,Device shattered when dropped,26,Mumbai,2382.4,Severe Damage,11.1,1081.5,506.65,487.16,-2294.71,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
28,ORD-34917,cust5904@example.com,Laptop Backpack,Electronics,1561.94,SKU-0028,HomeDecor Co,Size doesn't fit properly,28,Pune,0,No Damage,85.8,1340.14,87.47,78.1,1174.57,Restock,Main Warehouse,Low,High,True,False,Low
29,ORD-54289,cust1373@example.com,Board Game,Toys,558.98,SKU-0029,SportGear India,Cosmetic damage on body,25,Ahmedabad,0,Minor Damage,73.2,409.17,27.95,27.95,353.27,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
30,ORD-73289,cust1271@example.com,Python Book,Books,566.19,SKU-0030,BookBazaar,Wrong color delivered,22,Chennai,0,No Damage,86.7,490.89,24.91,28.31,437.67,Restock,Main Warehouse,Low,High,True,False,Low
31,ORD-31785,cust7393@example.com,Laptop Backpack,Electronics,1830.81,SKU-0031,FurniWorld,Device shattered when dropped,18,Surat,287.73,Severe Damage,12.3,225.19,65.91,91.54,-219.99,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
32,ORD-65539,cust9756@example.com,Wireless Gaming Mouse,Electronics,1789.18,SKU-0032,FashionHub India,Received damaged packaging,24,Chennai,0,Minor Damage,73.4,1313.26,85.88,89.46,1137.92,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
33,ORD-81540,cust2129@example.com,Running Shoes,Sports,2100.49,SKU-0033,FashionHub India,Doesn't fit my use case,20,Pune,0,No Damage,87.0,1827.43,84.02,105.02,1638.39,Restock,Main Warehouse,Low,High,True,False,Low
34,ORD-35510,cust5367@example.com,Laptop Backpack,Electronics,1764.96,SKU-0034,GlobalImports,"Dead on arrival, never worked",27,Surat,349.04,Severe Damage,10.9,192.38,95.31,88.25,-340.22,Scrap / E-Waste,Recycling Unit,Medium,Low,False,True,High
35,ORD-91745,cust4778@example.com,Protein Powder,Beauty,1068.06,SKU-0035,AutoParts India,Wrong item delivered,18,Chennai,0,No Damage,87.3,932.42,38.45,53.4,840.57,Restock,Main Warehouse,Low,High,True,False,Low
36,ORD-56071,cust2200@example.com,Bluetooth Headphones,Electronics,2704.32,SKU-0036,TechVista Ltd,Device shattered when dropped,1,Chennai,246.04,Severe Damage,14.8,400.24,5.41,135.22,13.57,Liquidate,Liquidation Partner,Low,High,False,True,High
37,ORD-30468,cust9000@example.com,Running Shoes,Sports,1618.51,SKU-0037,FashionHub India,"Changed my mind, don't need it",7,Kolkata,0,No Damage,89.0,1440.47,22.66,80.93,1336.88,Restock,Main Warehouse,Medium,High,True,False,Low
38,ORD-47196,cust9388@example.com,Laptop Backpack,Electronics,1825.29,SKU-0038,HomeDecor Co,Size doesn't fit properly,4,Surat,0,No Damage,89.4,1631.81,14.6,91.26,1525.95,Restock,Main Warehouse,Low,High,True,False,Low
39,ORD-87888,cust3615@example.com,Wireless Gaming Mouse,Electronics,1657.14,SKU-0039,TechVista Ltd,"Product is defective, stopped working after 2 days",8,Ahmedabad,87.21,Moderate Damage,52.8,874.97,26.51,82.86,678.39,Refurbish,Repair Center,Low,Medium,True,False,Medium
40,ORD-92067,cust1614@example.com,Bluetooth Headphones,Electronics,2772.22,SKU-0040,BookBazaar,Doesn't fit my use case,30,Chennai,0,No Damage,85.5,2370.25,166.33,138.61,2065.31,Restock,Main Warehouse,Medium,High,True,False,Low
41,ORD-25964,cust1290@example.com,Car Seat Cover,Automotive,2040.8,SKU-0041,HomeDecor Co,Quality much lower than expected,7,Chennai,351.33,Moderate Damage,53.0,1081.62,28.57,102.04,599.68,Refurbish,Repair Center,Medium,Medium,True,False,Medium
42,ORD-71677,cust7062@example.com,Smart Watch,Electronics,5719.94,SKU-0042,HomeDecor Co,Wrong item delivered,28,Chennai,0,No Damage,85.8,4907.71,320.32,286.0,4301.39,Restock,Main Warehouse,Low,High,True,False,Low
43,ORD-45162,cust3761@example.com,Python Book,Books,616.41,SKU-0043,GlobalImports,Duplicate order placed,24,Surat,0,No Damage,86.4,532.58,29.59,30.82,472.17,Restock,Main Warehouse,Medium,High,True,False,Low
44,ORD-60963,cust9157@example.com,Cotton T-Shirt,Clothing,469.03,SKU-0044,GlobalImports,"Product is defective, stopped working after 2 days",5,Kolkata,5.36,Moderate Damage,53.2,249.52,4.69,23.45,216.02,Refurbish,Repair Center,Medium,Medium,True,False,Medium
45,ORD-84934,cust1892@example.com,Car Seat Cover,Automotive,1993.77,SKU-0045,FashionHub India,Quality much lower than expected,17,Chennai,337.99,Moderate Damage,51.5,1026.79,67.79,99.69,521.32,Refurbish,Repair Center,Medium,Medium,True,False,Medium
46,ORD-35728,cust4073@example.com,Car Seat Cover,Automotive,2320.49,SKU-0046,FashionHub India,Wrong color delivered,7,Ahmedabad,0,No Damage,89.0,2065.24,32.49,116.02,1916.73,Restock,Main Warehouse,Low,High,True,False,Low
47,ORD-32708,cust2764@example.com,Smart Watch,Electronics,6492.25,SKU-0047,BookBazaar,Duplicate order placed,20,Pune,0,No Damage,87.0,5648.26,259.69,324.61,5063.96,Restock,Main Warehouse,High,High,True,False,Low
48,ORD-11153,cust7001@example.com,Face Cream SPF,Beauty,452.32,SKU-0048,AutoParts India,Device shattered when dropped,14,Kolkata,9.11,Severe Damage,12.9,58.35,12.66,22.62,13.96,Liquidate,Liquidation Partner,Medium,Low,False,True,High
49,ORD-79388,cust7650@example.com,Laptop Backpack,Electronics,1755.38,SKU-0049,TechVista Ltd,Minor scratch on the surface,15,Pune,0,Minor Damage,74.8,1313.02,52.66,87.77,1172.59,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
50,ORD-58357,cust8447@example.com,Protein Powder,Beauty,990.49,SKU-0050,GlobalImports,Battery drains in one hour,25,Hyderabad,76.74,Moderate Damage,50.2,497.23,49.52,49.52,321.45,Refurbish,Repair Center,Low,Medium,True,False,Medium
51,ORD-80114,cust5210@example.com,Running Shoes,Sports,1784.28,SKU-0051,TechVista Ltd,Doesn't fit my use case,8,Hyderabad,0,No Damage,88.8,1584.44,28.55,89.21,1466.68,Restock,Main Warehouse,Low,High,True,False,Low
52,ORD-46763,cust1843@example.com,Smart Watch,Electronics,5947.4,SKU-0052,FashionHub India,"Changed my mind, don't need it",5,Mumbai,0,No Damage,89.2,5305.08,59.47,297.37,4948.24,Restock,Main Warehouse,Low,High,True,False,Low
53,ORD-78760,cust9331@example.com,Car Seat Cover,Automotive,2397.89,SKU-0053,BookBazaar,Minor scratch on the surface,4,Bangalore,0,Minor Damage,76.4,1831.99,19.18,119.89,1692.92,Repack and Discount,Discount Inventory Zone,Low,High,True,False,Medium
54,ORD-70938,cust5808@example.com,Office Chair,Furniture,9892.59,SKU-0054,BookBazaar,Battery drains in one hour,20,Kolkata,799.62,Moderate Damage,51.0,5045.22,395.7,494.63,3355.27,Refurbish,Repair Center,Low,Medium,True,False,Medium
55,ORD-44475,cust9788@example.com,Wireless Gaming Mouse,Electronics,1797.76,SKU-0055,AutoParts India,Duplicate order placed,25,Delhi,0,No Damage,86.2,1549.67,89.89,89.89,1369.89,Restock,Main Warehouse,Low,High,True,False,Low
56,ORD-68360,cust7334@example.com,Instant Pot,Home & Kitchen,3884.17,SKU-0056,AutoParts India,Product not as described in listing,8,Jaipur,0,Minor Damage,75.8,2944.2,62.15,194.21,2687.84,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
57,ORD-88525,cust5180@example.com,Running Shoes,Sports,1859.5,SKU-0057,FashionHub India,Minor scratch on the surface,22,Kolkata,0,Minor Damage,73.7,1370.45,81.82,92.98,1195.65,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
58,ORD-67349,cust2819@example.com,Yoga Mat,Sports,733.15,SKU-0058,AutoParts India,"Changed my mind, don't need it",1,Mumbai,0,No Damage,89.8,658.37,1.47,36.66,620.24,Restock,Main Warehouse,Low,High,True,False,Low
59,ORD-36347,cust9489@example.com,Wireless Gaming Mouse,Electronics,1668.43,SKU-0059,AutoParts India,Battery drains in one hour,25,Hyderabad,321.06,Moderate Damage,50.2,837.55,83.42,83.42,349.65,Refurbish,Repair Center,Medium,Medium,True,False,Medium
60,ORD-98279,cust4960@example.com,Smart Watch,Electronics,6524.34,SKU-0060,GlobalImports,Doesn't fit my use case,18,Hyderabad,0,No Damage,87.3,5695.75,234.88,326.22,5134.65,Restock,Main Warehouse,Low,High,True,False,Low
61,ORD-52864,cust4201@example.com,LED TV 32 inch,Electronics,16504.43,SKU-0061,GlobalImports,Duplicate order placed,7,Bangalore,0,No Damage,89.0,14688.94,231.06,825.22,13632.66,Restock,Main Warehouse,Low,High,True,False,Low
62,ORD-79968,cust4092@example.com,Coffee Table,Furniture,5190.85,SKU-0062,GlobalImports,Water damage inside device,3,Delhi,1141.66,Severe Damage,14.6,757.86,31.15,259.54,-674.49,Scrap / E-Waste,Recycling Unit,High,High,False,True,High
63,ORD-10878,cust3830@example.com,Wireless Gaming Mouse,Electronics,1696.04,SKU-0063,TechVista Ltd,Product stopped working entirely,10,Jaipur,129.38,Severe Damage,13.5,228.97,33.92,84.8,-19.13,Scrap / E-Waste,Recycling Unit,Medium,Low,False,True,High
64,ORD-51359,cust4698@example.com,Wireless Gaming Mouse,Electronics,1800.12,SKU-0064,FurniWorld,Duplicate order placed,11,Hyderabad,0,No Damage,88.3,1589.51,39.6,90.01,1459.9,Restock,Main Warehouse,Low,High,True,False,Low
65,ORD-31613,cust6553@example.com,Protein Powder,Beauty,960.45,SKU-0065,FurniWorld,Minor scratch on the surface,18,Hyderabad,0,Minor Damage,74.3,713.61,34.58,48.02,631.01,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
66,ORD-58325,cust7478@example.com,Python Book,Books,628.87,SKU-0066,FashionHub India,"Dead on arrival, never worked",16,Ahmedabad,9.65,Severe Damage,12.6,79.24,20.12,31.44,18.03,Liquidate,Liquidation Partner,Low,Low,False,True,High
67,ORD-83407,cust8349@example.com,Protein Powder,Beauty,1140.95,SKU-0067,SportGear India,Quality much lower than expected,1,Bangalore,134.86,Moderate Damage,53.9,614.97,2.28,57.05,420.78,Refurbish,Repair Center,Low,High,True,False,Medium
68,ORD-33661,cust2956@example.com,Cookware Set,Home & Kitchen,1160.41,SKU-0068,AutoParts India,"Product is defective, stopped working after 2 days",13,Surat,60.08,Moderate Damage,52.0,603.41,30.17,58.02,455.14,Refurbish,Repair Center,Medium,Medium,True,False,Medium
69,ORD-93543,cust6760@example.com,Car Seat Cover,Automotive,2294.55,SKU-0069,AutoParts India,Doesn't fit my use case,25,Surat,0,No Damage,86.2,1977.9,114.73,114.73,1748.44,Restock,Main Warehouse,Low,High,True,False,Low
70,ORD-87110,cust7303@example.com,Cotton T-Shirt,Clothing,520.37,SKU-0070,FashionHub India,"Product is defective, stopped working after 2 days",13,Pune,28.8,Moderate Damage,52.0,270.59,13.53,26.02,202.24,Refurbish,Repair Center,Low,Medium,True,False,Medium
71,ORD-63781,cust7101@example.com,Laptop Backpack,Electronics,1730.05,SKU-0071,FurniWorld,Quality much lower than expected,16,Pune,356.76,Moderate Damage,51.6,892.71,55.36,86.5,394.09,Refurbish,Repair Center,Low,Medium,True,False,Medium
72,ORD-17444,cust4326@example.com,Board Game,Toys,712.61,SKU-0072,HomeDecor Co,"Packaging damage only, product fine",8,Chennai,0,Minor Damage,75.8,540.16,11.4,35.63,493.13,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
73,ORD-96131,cust4992@example.com,Wireless Gaming Mouse,Electronics,1742.36,SKU-0073,FashionHub India,Received damaged packaging,16,Mumbai,0,Minor Damage,74.6,1299.8,55.76,87.12,1156.92,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
74,ORD-67938,cust1860@example.com,Board Game,Toys,741.76,SKU-0074,BookBazaar,Minor scratch on the surface,24,Hyderabad,0,Minor Damage,73.4,544.45,35.6,37.09,471.76,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
75,ORD-13260,cust9839@example.com,Board Game,Toys,665.64,SKU-0075,GlobalImports,Quality much lower than expected,14,Pune,138.64,Moderate Damage,51.9,345.47,18.64,33.28,154.91,Refurbish,Repair Center,Low,Medium,True,False,Medium
76,ORD-12533,cust5267@example.com,Yoga Mat,Sports,879.24,SKU-0076,FurniWorld,Received damaged packaging,26,Delhi,0,Minor Damage,73.1,642.72,45.72,43.96,553.04,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
77,ORD-45748,cust4820@example.com,Board Game,Toys,682.2,SKU-0077,TechVista Ltd,Battery drains in one hour,13,Jaipur,13.74,Moderate Damage,52.0,354.74,17.74,34.11,289.15,Refurbish,Repair Center,Low,Medium,True,False,Medium
78,ORD-84283,cust3210@example.com,Python Book,Books,553.03,SKU-0078,FurniWorld,Product not as described in listing,19,Chennai,0,Minor Damage,74.2,410.35,21.02,27.65,361.68,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
79,ORD-89956,cust3047@example.com,Smart Watch,Electronics,6335.43,SKU-0079,FashionHub India,"Packaging damage only, product fine",21,Ahmedabad,0,Minor Damage,73.8,4675.55,266.09,316.77,4092.69,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
80,ORD-27054,cust6340@example.com,Cotton T-Shirt,Clothing,511.19,SKU-0080,GlobalImports,Doesn't fit my use case,8,Bangalore,0,No Damage,88.8,453.94,8.18,25.56,420.2,Restock,Main Warehouse,Low,High,True,False,Low
81,ORD-19154,cust5976@example.com,Laptop Backpack,Electronics,1610.28,SKU-0081,HomeDecor Co,Cosmetic damage on body,19,Surat,0,Minor Damage,74.2,1194.83,61.19,80.51,1053.13,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
82,ORD-77397,cust7905@example.com,LED TV 32 inch,Electronics,16713.73,SKU-0082,FurniWorld,Battery drains in one hour,18,Delhi,4029.24,Moderate Damage,51.3,8574.14,601.69,835.69,3107.52,Refurbish,Repair Center,Low,Medium,True,False,Medium
83,ORD-30969,cust7764@example.com,Python Book,Books,551.02,SKU-0083,GlobalImports,Battery drains in one hour,8,Surat,57.78,Moderate Damage,52.8,290.94,8.82,27.55,196.79,Refurbish,Repair Center,Medium,Medium,True,False,Medium
84,ORD-80209,cust1115@example.com,Coffee Table,Furniture,5356.08,SKU-0084,GlobalImports,Quality much lower than expected,11,Ahmedabad,1002.62,Moderate Damage,52.4,2806.59,117.83,267.8,1418.34,Refurbish,Repair Center,Low,Medium,True,False,Medium
85,ORD-43951,cust2493@example.com,Badminton Set,Sports,780.02,SKU-0085,BookBazaar,Minor scratch on the surface,1,Bangalore,0,Minor Damage,76.8,599.06,1.56,39.0,558.5,Repack and Discount,Discount Inventory Zone,Low,High,True,False,Medium
86,ORD-18202,cust9933@example.com,Protein Powder,Beauty,1210.37,SKU-0086,AutoParts India,Wrong color delivered,22,Chennai,0,No Damage,86.7,1049.39,53.26,60.52,935.61,Restock,Main Warehouse,Medium,High,True,False,Low
87,ORD-83288,cust5076@example.com,Denim Jacket,Clothing,1398.82,SKU-0087,FurniWorld,Water damage inside device,12,Delhi,244.83,Severe Damage,13.2,184.64,33.57,69.94,-163.7,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
88,ORD-20569,cust4360@example.com,Instant Pot,Home & Kitchen,3996.9,SKU-0088,FashionHub India,"Dead on arrival, never worked",14,Chennai,987.14,Severe Damage,12.9,515.6,111.91,199.85,-783.3,Scrap / E-Waste,Recycling Unit,Medium,Low,False,True,High
89,ORD-15962,cust3584@example.com,Cotton T-Shirt,Clothing,525.92,SKU-0089,TechVista Ltd,Wrong color delivered,2,Chennai,0,No Damage,89.7,471.75,2.1,26.3,443.35,Restock,Main Warehouse,Medium,High,True,False,Low
90,ORD-39668,cust9575@example.com,Office Chair,Furniture,8563.74,SKU-0090,AutoParts India,Doesn't fit my use case,30,Surat,0,No Damage,85.5,7322.0,513.82,428.19,6379.99,Restock,Main Warehouse,Low,High,True,False,Low
91,ORD-69699,cust9190@example.com,Denim Jacket,Clothing,1404.25,SKU-0091,BookBazaar,Screen cracked during delivery,13,Delhi,1.18,Severe Damage,13.1,183.96,36.51,70.21,76.06,Liquidate,Liquidation Partner,Low,Low,False,True,High
92,ORD-71482,cust7157@example.com,Car Seat Cover,Automotive,2166.65,SKU-0092,GlobalImports,Device shattered when dropped,2,Pune,139.45,Severe Damage,14.7,318.5,8.67,108.33,62.05,Liquidate,Liquidation Partner,Low,High,False,True,High
93,ORD-49231,cust8232@example.com,Cotton T-Shirt,Clothing,432.57,SKU-0093,FurniWorld,Water damage inside device,30,Jaipur,37.75,Severe Damage,10.5,45.42,25.95,21.63,-39.91,Scrap / E-Waste,Recycling Unit,Medium,Low,False,True,High
94,ORD-81605,cust1989@example.com,Cotton T-Shirt,Clothing,426.2,SKU-0094,AutoParts India,Quality much lower than expected,17,Delhi,73.84,Moderate Damage,51.5,219.49,14.49,21.31,109.85,Refurbish,Repair Center,Medium,Medium,True,False,Medium
95,ORD-26622,cust6097@example.com,Coffee Table,Furniture,5579.28,SKU-0095,BookBazaar,Wrong item delivered,23,Bangalore,0,No Damage,86.5,4826.08,256.65,278.96,4290.47,Restock,Main Warehouse,Low,High,True,False,Low
96,ORD-71458,cust2532@example.com,Coffee Table,Furniture,4467.53,SKU-0096,GlobalImports,Doesn't fit my use case,29,Kolkata,0,No Damage,85.7,3828.67,259.12,223.38,3346.17,Restock,Main Warehouse,High,High,True,False,Low
97,ORD-58376,cust1795@example.com,Bluetooth Headphones,Electronics,2833.35,SKU-0097,SportGear India,Duplicate order placed,21,Pune,0,No Damage,86.8,2459.35,119.0,141.67,2198.68,Restock,Main Warehouse,Low,High,True,False,Low
98,ORD-69404,cust3301@example.com,Wireless Gaming Mouse,Electronics,1979.67,SKU-0098,SportGear India,Doesn't fit my use case,8,Mumbai,0,No Damage,88.8,1757.95,31.67,98.98,1627.3,Restock,Main Warehouse,High,High,True,False,Low
99,ORD-16771,cust5077@example.com,LED TV 32 inch,Electronics,14458.95,SKU-0099,FashionHub India,Device shattered when dropped,27,Delhi,2318.34,Severe Damage,10.9,1576.03,780.78,722.95,-2246.04,Scrap / E-Waste,Recycling Unit,Medium,Low,False,True,High
100,ORD-83349,cust4074@example.com,LED TV 32 inch,Electronics,13681.95,SKU-0100,BookBazaar,Cosmetic damage on body,20,Kolkata,0,Minor Damage,74.0,10124.64,547.28,684.1,8893.26,Repack and Discount,Discount Inventory Zone,High,Medium,True,False,Medium
101,ORD-22509,cust3151@example.com,Instant Pot,Home & Kitchen,3948.61,SKU-0101,FurniWorld,Cosmetic damage on body,4,Surat,0,Minor Damage,76.4,3016.74,31.59,197.43,2787.72,Repack and Discount,Discount Inventory Zone,Medium,High,True,False,Medium
102,ORD-60509,cust2524@example.com,Running Shoes,Sports,1829.36,SKU-0102,FurniWorld,Minor scratch on the surface,21,Pune,0,Minor Damage,73.8,1350.07,76.83,91.47,1181.77,Repack and Discount,Discount Inventory Zone,Medium,Medium,True,False,Medium
103,ORD-23926,cust3717@example.com,Python Book,Books,627.71,SKU-0103,TechVista Ltd,Wrong color delivered,15,Surat,0,No Damage,87.8,551.13,18.83,31.39,500.91,Restock,Main Warehouse,Low,High,True,False,Low
104,ORD-81869,cust5250@example.com,Instant Pot,Home & Kitchen,3818.35,SKU-0104,AutoParts India,"Product is defective, stopped working after 2 days",29,Pune,97.43,Moderate Damage,49.6,1893.9,221.46,190.92,1384.09,Refurbish,Repair Center,Medium,Low,True,False,Medium
105,ORD-16666,cust3641@example.com,Python Book,Books,608.34,SKU-0105,AutoParts India,"Dead on arrival, never worked",30,Bangalore,87.79,Severe Damage,10.5,63.88,36.5,30.42,-90.83,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
106,ORD-48666,cust8944@example.com,Running Shoes,Sports,2003.68,SKU-0106,SportGear India,Water damage inside device,17,Surat,231.09,Severe Damage,12.4,248.46,68.13,100.18,-150.94,Scrap / E-Waste,Recycling Unit,Low,Low,False,True,High
107,ORD-50035,cust5569@example.com,Wireless Gaming Mouse,Electronics,1778.66,SKU-0107,AutoParts India,Cosmetic damage on body,4,Pune,0,Minor Damage,76.4,1358.9,14.23,88.93,1255.74,Repack and Discount,Discount Inventory Zone,Low,High,True,False,Medium
108,ORD-77275,cust5514@example.com,Bluetooth Headphones,Electronics,3055.74,SKU-0108,FashionHub India,Product not as described in listing,11,Jaipur,0,Minor Damage,75.3,2300.97,67.23,152.79,2080.95,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
